symbol,C3L.02665,C3L.01663,C3N.02575,C3L.02546,C3L.00965,C3L.02963,C3N.04162,C3L.02646,C3N.02285,C3N.03875,C3N.03424,C3N.01017,C3L.00081,C3L.02649,C3L.01838,C3N.02252,C3L.03963,C3N.03072,C3L.02969,C3N.03662,C3N.03051,C3N.02434,C3L.02127,C3N.02339,C3L.03961,C3L.04391,C3L.02619,C3N.02494,C3N.03880,C3N.03092,C3L.02669,C3N.03877,C3N.01846,C3L.02964,C3N.00247,C3N.02288,C3L.01606,C3L.02164,C3N.02374,C3N.02675,C3N.02523,C3L.02130,C3N.02426,C3N.02284,C3L.00923,C3N.03486,C3N.04127,C3L.02951,C3L.02629,C3L.04013,C3N.00221,C3L.00568,C3N.04155,C3N.01025,C3L.02552,C3N.02375,C3L.02660,C3L.01884,C3N.02300,C3L.01285,C3L.02627,C3L.00993,C3N.02425,C3L.02170,C3N.00555,C3N.01893,C3N.03093,C3L.01455,C3N.03848,C3L.02968,C3N.03204,C3L.00445,C3N.02283,C3N.02289,C3L.03962,C3L.03272,C3N.01411,C3L.00415,C3N.03882,C3L.01000,C3L.02650,C3L.02358,C3L.02168,C3L.02625,C3N.01028,C3N.02435,C3N.03441,C3L.04071,C3N.01020,C3N.00497,C3N.01194,C3L.02648,C3L.03678,C3L.02891,C3L.00927,C3N.03886,C3L.04014,C3N.03076,C3N.03425,C3L.02163,C3N.04124,C3L.00904,C3N.00211,C3N.01892,C3L.00603,C3L.03965,C3N.03851,C3L.02349
A2M,-2.8175999999999997,-2.5012,-3.8111,-2.7143,-0.9164,-2.1682,-3.6144,-2.426,-1.3301,-4.4459,-2.4261,-1.0592,-6.2684,-2.9888999999999997,-3.7838,-2.1961000000000004,-2.1103,-2.7883000000000004,-2.0632,-2.771,-3.6284,0.2213,-2.6937,1.1237,-2.3120000000000003,-1.0710000000000002,-3.3674,-2.9358,-4.7925,-3.0132000000000003,-3.1915,-3.246,-3.6405,-3.7738,-4.4707,-1.6093,-0.1152,1.0613,-1.458,0.656,-1.9507000000000003,-0.1013,-1.7529,-1.4418,-1.9243,-1.8794,-3.2443,-4.7012,-3.4713,-2.46,-2.083,-3.3567,-2.8806000000000003,-2.6614,1.4131,-2.5007,0.3673999999999999,-1.2956,-2.292,-2.5349999999999997,-2.6992,-2.9006,-2.0175,-0.4988999999999999,-1.7358000000000002,-0.8463,-2.5069,0.2528,-2.1561,-3.1965000000000003,-3.6018999999999997,-3.4954,-2.9707,0.0442999999999999,-1.501,-2.6414,-1.93915,-4.4969,-3.1381,-1.1759,-0.2454,-2.6033,-4.8308,-4.7978,-2.836,0.0708,-0.2861,-3.6231,-1.862,-2.413,-5.1479,-0.6152000000000001,-2.2304,-1.4347,-2.0069000000000004,-0.6916,-3.268,-2.7303,-2.0827,-3.1116,-6.1006,-2.3199,-4.6521,-4.385999999999999,-1.3762,-2.9367,-2.9652000000000003,-2.719
AACS,0.9971,-0.8282,0.3344,-0.7265999999999999,-0.4948,-0.4299,1.107,0.3995,1.9755,4.5316,0.0387,0.4904,-0.3419,-0.5710999999999999,-1.3242,0.0535999999999999,-1.9549,-0.8225,0.7503,-1.6346,3.852,-0.8538,0.3166,-2.5513000000000003,0.5999,-1.7872,1.7906,-0.983,1.5,0.7643,-0.6564000000000001,-0.5206,0.2288,-0.4704,0.6537999999999999,-1.1666,0.0504,-1.9814,0.5763,1.5585,-0.0362,2.7817000000000003,-0.1994,0.6149,0.6679,1.1217,1.1970999999999998,0.8745,1.6332,0.585,0.125,2.3419,0.3364,-0.8945,-1.8529,-0.3977,-1.8245,-0.8311,1.4946,0.2224999999999999,0.6055,0.5448,4.0562000000000005,-1.1475,1.3864999999999998,1.5031,-0.3526,-0.2171,-0.7435,-0.4680999999999999,2.7457000000000003,1.9335,0.8347,2.34,0.2219,-0.5762,0.88575,2.8653,2.9288999999999996,3.9157,0.7167,2.4948,-0.4694,3.0302,-1.3804,3.1789,-1.7349,-1.055,3.1584000000000003,-1.6492,0.0895,1.0756,1.2153,-0.0234,2.2939,1.467,2.3458,1.3383,2.1515,-2.0247,1.1418,-1.709,-0.7165,0.9005,1.7618,0.5245,0.1351,2.3642000000000003
AAK1,-0.0446,0.8283,0.1604,0.5997,-0.59,1.129,-0.5524,0.5662,1.0779,-0.3652,0.0271,0.8595,0.2289999999999999,-0.79,1.4271,1.1299,-0.0831,0.3868,0.4317,0.8771,0.0901,1.3529,-0.0911999999999999,0.7593,0.4821999999999999,1.9311,-0.1437,-0.3295,-0.2925999999999999,-0.2332,1.6611,-0.6837,1.6102999999999998,0.0819,0.4347,0.332,0.3562999999999999,0.2427,-0.3489,0.8952,0.1640999999999999,-0.1162999999999999,1.5278,0.2789,0.8539,-0.1303999999999999,0.5969,0.3901,0.9671,-0.3943,1.3071000000000002,0.7102999999999999,0.1971,0.9572,1.2402,0.4603,0.2394,0.7192000000000001,0.3314,-0.827,0.0215,-0.2937,-0.4954,1.4122,-0.4303,2.2546999999999997,0.4662,0.4502,0.7394999999999999,0.0831,0.7292,0.0,-0.5511999999999999,0.7037,-0.5116,0.7565999999999999,0.18785,-0.1326,-0.2944,-0.1657,0.0911,0.2266,2.0042,0.7895000000000001,0.2628,-0.0307,0.1681,1.3812,-0.1555,0.0931,0.4188,0.2636,-0.4239,0.2618999999999999,0.8426,-0.5207,0.1893,-0.1184,0.3437,0.4497,1.6586,0.4633,0.4947,1.0755,0.5323,-0.2623,0.2800999999999999,1.9036
AAMDC,-0.8046999999999999,0.9752,-1.4956,1.4154,0.5049,-0.7775000000000001,-0.274,-5.1854000000000005,-0.9012,-1.1072,-1.6445,-2.2853,-0.6345999999999999,1.6862,-0.2676,-0.7132999999999999,-1.29,-0.8109999999999999,-1.5147,-0.5886,-3.2178,-1.5929,-1.3241,0.8089999999999999,-3.1624000000000003,-0.9405,-2.0524,-1.2241,-1.3471,0.0885,-0.8070999999999999,-0.5633,-0.3418,-0.4063,0.6961999999999999,-2.7986,-1.4106,0.1268,-0.8096,-1.0729,0.0312999999999999,1.0249,0.5726,-0.6121000000000001,0.7136,0.7646,-1.1203,-0.1725,-1.2073,1.0,-1.0829,-1.173,-0.1931,-1.4330999999999998,0.5599,-2.5353,0.6935,-1.2116,0.0093999999999999,-0.0240999999999999,0.0619,-0.1617,-0.2909,0.0805,-0.8461,-1.2487,-1.4701,-2.223,-2.9857,-5.3397,-1.3041,-0.8533000000000001,-2.6064999999999996,-0.8604,-1.2384000000000002,-0.7808999999999999,-0.71925,-1.2554,-0.9362,1.1854,-3.2505,-1.8368,-0.0332999999999999,-1.1092,-3.0737,-0.3477,-0.4269,-1.35,0.5986,-0.7243999999999999,-1.1707,-0.9948,-0.3957,-0.7037,-1.5532,1.7669,-0.0526,0.1777,-2.4503,-2.7853,-1.3584999999999998,-0.9471,-0.4327999999999999,-2.3079,-0.1448999999999999,-1.6737,-0.9206,-0.6486000000000001
AAMP,1.9848,0.5386,1.4315,-1.1104,1.3958,0.3813,-0.2309,0.1839,1.1103,0.645,0.9403,0.5081,0.6492,2.7325000000000004,-0.3087999999999999,1.8458,-0.2493,-1.4529,-0.1805,-0.37,0.2336,-0.9833,-0.0191999999999999,0.8089999999999999,-1.1009,-2.2289999999999996,0.7053999999999999,0.2973,0.7249,-0.0029999999999999,0.0166999999999999,1.0542,1.5582,1.0904,1.0779,0.6498999999999999,0.5686,-0.4999,0.0544,1.5947,0.5697,-1.0473,0.8717,-1.1224,0.2196,2.3808,0.2901,-1.3796000000000002,-0.5604,0.5696,0.8971,-0.6413,1.0113,1.6672,-0.8306,1.4092,-1.9689,-0.5708,0.1124999999999999,0.2541,0.6970000000000001,2.2601,-0.0674,-0.2725,1.5653,0.2959,0.8696,-0.2053,0.5282,0.2617,1.4229,0.7584,2.5297,1.1339,-0.043,-0.1831,-0.5063500000000001,1.1797,0.1435999999999999,1.7608,-0.285,-0.3929,-1.102,0.7288000000000001,0.8508,1.1725,-1.3806,-0.6976,0.4101,0.9422,1.0811,0.0422,0.6453,1.8569,1.199,1.575,0.27,-0.2181,0.269,-1.7883,0.8834,0.9506,0.6693,0.6708,1.8415,-0.5522,1.2774,0.6222
AAR2,-0.0492999999999999,-0.6079,-0.6573,-0.168,1.525,-1.0542,-0.4834,-0.0805,-0.191,0.4053,-0.6887,-0.2806,0.4405,0.2772,-0.741,0.0177999999999999,1.3009,-0.5159,0.2017,-0.5186,1.1149,0.2276,-0.4414,-0.5826,-0.3681999999999999,-0.174,-0.1724,0.6402,0.1185999999999999,-0.4072999999999999,0.643,1.0338,1.3786,-0.7733000000000001,0.3287,0.4711,-0.2483,-0.0471,-0.4636,-0.232,0.0530999999999999,0.2027,0.4632,0.509,-0.3384999999999999,-0.6547000000000001,0.2568,0.1396,0.0575999999999999,1.3298,0.4927,-0.3491,1.8693,0.5588,-0.5112,-0.0216,0.5572,0.1064,0.2062999999999999,0.9217,-0.374,1.0534,0.5123,0.7521000000000001,1.0539,-0.9025,1.0907,0.5923,0.2074,0.9145,0.7896,1.684,1.1024,-0.4945,0.8399000000000001,0.2934,0.18235,-1.0309,-0.078,1.1291,-1.0254,-0.3495,0.4861,-0.8407,-0.5338,0.0616,0.4496,0.0416,0.5787,0.4908,0.1253,-0.1336,0.57,-0.8092,0.9745,0.8978999999999999,0.533,-0.4443,0.6305,0.1362,0.4883,0.1442,0.1127999999999999,0.051,1.3308,-0.145,1.7627,-0.2779999999999999
AARS1,3.0733,1.1791999999999998,1.8048,-0.168,0.0986,2.4636,0.9991,1.3193,1.5717,2.985,0.298,0.8924,3.9008,2.249,0.6277999999999999,1.6617,0.2203999999999999,0.404,0.952,0.5245,1.3586,0.2861,1.6742,-0.9664,0.7327,2.8080000000000003,-0.0798,0.884,0.63,-1.1125999999999998,1.1185,0.7948000000000001,0.4692,-0.5346000000000001,0.7032999999999999,1.4673,-1.13,0.8584999999999999,1.4264,-0.9351,-0.2318,2.1060000000000003,0.8974,0.3416,-0.0427,0.6891,0.4568,1.1537,0.269,-0.3428,1.855,0.6291,0.9894,0.5865,0.1052,0.6851,0.2724,-1.3264,-0.122,1.8223,0.1641999999999999,0.8342,0.2150999999999999,-0.2648,1.7752,0.1834,-0.8964,1.3544,0.1291,1.1824,1.1958,0.4939,1.2363,1.4193,0.7901,0.7458,-0.17685,0.3301,1.8243,-0.0625,-1.1956,0.1856,0.0866,1.9498,1.2095,0.0893,-1.3125,1.3812,-0.1819,0.9927,2.0691,0.5166999999999999,1.0905,1.681,0.0926,-0.029,2.8121,0.3824,1.7601,0.4214,0.6099,0.5937,0.1200999999999999,2.2312,-0.5016,-0.528,0.2800999999999999,3.1823
AARS2,-0.1829999999999999,0.0776,-0.4901,-1.7445000000000002,1.5097,0.729,1.8407,-1.1297,-0.2703,0.1969,-0.6694,0.4727,-0.5709,-0.1251,-1.3928,1.4981,0.0939999999999999,-0.1576,0.8104,-0.9557,-0.1702,2.0021,0.1367,0.8917999999999999,-0.7593,1.824,-0.4755999999999999,2.384,2.4173,0.3335,-0.1072,1.4747,-0.1941,1.6499,-0.5584,-0.1136,-0.2951,0.384,0.3806,1.0329,-0.6277,-0.3866,1.4957,0.0182,-0.1951999999999999,0.4419,-0.0233,-1.0881,-1.6108,-0.9098,1.3678,-0.1177,0.6649,0.2231,-0.3796,0.4171,0.3921,0.1176,0.0249999999999999,0.7097,-1.3536,0.5448,3.0949,-0.8173999999999999,1.2015,-1.3907,-0.1791999999999999,0.6476,-0.4422,0.388,0.6958,-0.0949,1.2619,-0.4784,0.6882999999999999,0.1183999999999999,0.45815,0.3707,-0.0532,0.1877,-0.2969,1.5885,1.5381,-0.5976999999999999,-0.0166999999999999,0.994,0.7221,0.2811,-0.4597,-1.1757,0.0286,-1.1037,2.0561000000000003,0.95,0.9259,-0.1322,1.4481,0.0673999999999999,0.0597999999999999,0.2029999999999999,-0.0513,1.1325,-0.6074,0.2915999999999999,0.7043,1.0248000000000002,0.2133999999999999,0.413
AARSD1,-0.8211,0.3754,0.0297999999999999,1.0315,1.3822,0.3514,0.274,0.6006999999999999,0.6958,-0.4993,0.1354999999999999,0.8367,1.7157,1.4986,0.6791999999999999,-2.0606,1.7598,0.4069,-0.138,1.0694,-1.2451,1.0982,1.4608,-0.5219,-0.0683,0.2577,-0.415,1.1867,0.0553999999999999,0.121,-0.8004,2.0157,0.9934,-1.1047,1.2157,1.3907,-0.7305,0.3802999999999999,1.5806,-1.0982,0.3887,0.4618,0.1866,0.0209,0.2654,0.467,0.0800999999999999,0.9772,1.2776999999999998,0.2732,1.9892,1.0877,0.5315,1.1527,-0.0714,0.4301,-0.322,0.2966,-1.3446,1.8208,-0.9284,2.1217,-0.2361,-0.2034,0.7255,-0.2545,0.3945,-0.2013,-1.8626,3.338,0.0438,1.2798,1.0768,-0.5226,-0.0543,0.4226999999999999,1.64485,-1.1039,0.6347,-0.1344999999999999,-0.8156,-0.8823000000000001,0.7524,0.2845,1.4222,0.9109,0.0681,-0.4060999999999999,-0.8004,0.9453,0.8914,0.717,0.5558,0.7936,0.5092,1.3074,0.1823,1.8822,0.2330999999999999,-0.6372,1.2216,-0.3123,1.3967999999999998,1.0718,0.2824,0.7867,-0.6321,0.6671999999999999
AASDHPPT,0.4106,0.7467,0.8749,-0.2227999999999999,1.3006,0.8225,-0.177,0.4714,1.4708,0.254,-0.1431,0.8292,1.3795,0.9275,0.0412,1.153,1.178,-1.0517,-0.4601,-0.7896000000000001,1.1983,-0.5782999999999999,-0.2639,-0.787,0.7821,1.0476,-0.3096,0.4366,0.3611999999999999,3.3466,-1.1621,0.6446999999999999,-0.4084,0.0463,0.0211999999999999,0.8598999999999999,0.673,0.5977,0.4221,0.5763,0.8472999999999999,0.0451,0.9971,0.8227,-0.2225999999999999,-0.3112999999999999,0.5302,0.4681,1.0183,0.8402,-0.0074,0.2029,-0.1672,-0.1328,0.5035999999999999,-0.1254,0.2972,0.1091999999999999,1.0631,0.4195,0.9661,0.7448,1.071,0.7061000000000001,0.6153,0.071,1.27,-0.15,1.0878,0.776,0.8166,0.1995,1.3131,0.0643999999999999,-0.0655999999999999,-1.3732,0.2249499999999999,-0.4086,-0.1169999999999999,1.5638,-0.285,0.0119999999999999,-1.4083,0.4763,0.4254,-0.24,0.0636,-0.361,1.0087000000000002,0.1215,0.3257,-0.0562999999999999,1.034,0.8601,1.0162,-0.2804999999999999,1.7883,1.7799,1.3895,0.4291999999999999,-0.5149,2.2273,1.1058,2.0708,1.7346,-0.0967,1.696,0.7148
AASS,-0.5137999999999999,-2.7011,1.7613,-1.5183,-1.86,2.0411,1.23,0.9169,2.8587,-0.7789999999999999,0.8513000000000001,1.8909,-4.2108,-1.0859,-0.5352,-0.3247,7.140199999999999,-2.4616,-3.0682,2.1329,1.6122,-0.5052,-2.2403999999999997,-1.8804,3.5763,-3.2363999999999997,3.0545,0.3616,-2.0799000000000003,-2.1721,-0.8941999999999999,0.6132,-0.4141999999999999,-0.2317,-2.9970000000000003,1.5468,-0.1008,6.205,-0.6178,3.1061,1.5716,-1.1524,-2.4863000000000004,1.7486,-1.0643,-3.42,2.204,0.6036,0.5123,-1.8955,1.8053,1.8548,-0.6311,0.7062999999999999,2.766,-3.1318,-0.7678,2.9690000000000003,-1.01,-0.3533,-0.8558,0.0277,-3.2297,4.374700000000001,0.4157,-0.4083,-2.8386,-0.3869,-0.6065,1.1393000000000002,0.2729,-2.3103,-1.5159,2.2757,-1.535,0.1937999999999999,2.08355,0.7251000000000001,1.0744,-1.1885,2.7081999999999997,1.1667,-0.4760999999999999,-1.7389,4.2499,-3.0189,9.3829,-1.3360999999999998,-0.3703999999999999,-3.1357999999999997,-0.2184,-4.4606,0.2213999999999999,-2.8068999999999997,-4.3009,-1.5751,-0.3365999999999999,-2.6038,-0.0657,2.5027,0.4085,-1.4619,-4.5466999999999995,-3.0407,0.5703,0.1552,-3.0352,0.3177
ABAT,0.0047,-2.1338999999999997,5.370900000000001,-1.8267,-1.1187,-2.0186,1.8428,-2.2421,0.1803,2.6511,0.089,2.0982,-5.6569,-1.1672,-1.4648,-1.5263,-0.5347999999999999,-1.2008,-0.8351999999999999,-1.5734,1.2718,-2.0062,-0.6596,1.6428,0.1633,0.8300000000000001,-1.9726,-1.8723,-2.7653000000000003,-1.8002,-1.6108,0.3483,1.506,-1.7604,0.0353,2.6424,-0.8457000000000001,0.6266999999999999,2.0096,-0.2428999999999999,-0.9657,0.3079,2.1197,4.264,-1.3784,-1.7832,-0.3367,-2.4265,-1.0728000000000002,-1.4973999999999998,-1.7319,-4.4037999999999995,-1.9211,-2.0786,1.507,-2.6888,-2.0721,-1.1305,3.7741,-1.4554,0.2557,-1.7855,1.9269,3.2925999999999997,-1.6692,2.4972999999999996,0.3198,0.6238999999999999,0.6377999999999999,-2.0448,-1.8561,-2.7419,-0.8090999999999999,0.9047,-2.8549,2.5929,-1.64855,3.0926,-0.6188,-0.2283,-1.2511,-0.2507,-3.1695,-1.1251,0.3212,-3.4435,1.308,-2.117,-1.2832,-1.3398,0.1969,-1.3252,-1.3943,-1.5676,-2.662,-0.1725,-1.4377,-1.5105,-1.3476,-2.2868,0.3894999999999999,1.9115,0.6548,-1.8959,1.635,-0.6074,-1.7261,-0.0079
ABCE1,1.5625,1.0487,2.1003,0.4523,1.3295,1.286,0.4683,1.5147000000000002,1.4276,0.2626,-0.5570999999999999,0.5409999999999999,1.8316,0.3668,0.446,-0.0128,1.084,0.1203,0.5874999999999999,0.2476999999999999,0.3304,0.451,1.089,-0.4004,0.2582,1.0375,0.1467999999999999,0.9134,0.2583,1.8268,0.7266999999999999,0.4760999999999999,-0.0491999999999999,0.9586,0.9012,0.3916,1.4466,0.2934,1.0843,0.0725,1.2071,-0.1539,0.2059,0.1840999999999999,-1.0887,0.9936,0.3635,-0.1273,1.1528,0.8672,0.5423,0.0609,0.9336,0.8391,0.0864,0.6505000000000001,-0.5325000000000001,1.5671,-0.3221,0.9788,-0.3418,0.9598,1.0394,0.1573,1.3948,0.287,2.8477,-0.1934,1.1308,0.8437,0.5625,-0.0949,0.8879,0.7519,0.1018999999999999,0.6893,0.42665,0.092,0.7535000000000001,0.2127,-0.6690999999999999,1.0003,0.2464,0.9493,1.2679,0.2893,1.417,0.7495999999999999,0.883,0.7339,1.056,0.7978999999999999,1.5733,0.477,0.4397999999999999,0.2289,1.0028,1.201,0.6664,0.4266,0.7694,0.9403,1.3531,1.9541,1.0918,1.0939,1.089,0.7731
ABCF1,1.2622,0.861,-0.1923999999999999,0.3941,1.0694,1.2486,0.5546,0.1033999999999999,0.1118,-0.2853,-0.1277,0.7179,-0.1159,1.7446,0.4254,0.294,0.6251,0.1203,0.4741999999999999,0.4662,0.2503,1.1211,1.2856999999999998,0.3727,0.5315,0.6359,-0.2235,1.851,-0.2979,0.2361,1.2291,1.0171,0.501,0.7732,0.5796,0.7634000000000001,1.5618,0.7462,0.1908,0.1776,0.3887,0.5669000000000001,-0.0063999999999999,0.3556,-0.4788,0.3869,0.7036,-1.01,0.6083999999999999,0.4227,1.0369000000000002,0.0203,2.4465999999999997,1.0236,0.5412,0.2745,0.0535999999999999,-0.5596,0.9662,0.9984,-0.7507999999999999,-0.0339999999999999,-0.2825,0.6140000000000001,1.2909000000000002,-0.6035999999999999,0.7949,-0.1026,0.6613,0.7852,1.0437,0.4415,2.1301,0.6273,0.7109000000000001,0.8885,-0.09905,-0.2598,-0.3138,0.5880000000000001,-0.2731,0.3832,1.2951,0.2493,1.3304,0.7047000000000001,-0.3950999999999999,0.8536999999999999,0.4068,0.8664000000000001,0.6587000000000001,-0.5202,1.3496,1.0164,2.2754,0.1467,1.8128,0.929,0.7441,-0.0024999999999999,0.3059,1.2732,0.873,0.8166,1.5318,1.0835,1.229,0.9875
ABCF2,1.227,0.0326999999999999,-0.2678999999999999,0.8053,0.9589,-0.1682,0.5329999999999999,0.6295,-0.8146,0.6364000000000001,-0.6423,1.36,1.194,-0.2147,0.7958999999999999,0.271,-0.1228,1.0201,0.5627,0.9557,0.0634,0.6493,1.1633,-0.9664,0.4138,0.2108,0.6766,1.3286,1.0755,3.0987,3.2752999999999997,0.2427,0.1042999999999999,0.841,0.2509,-0.369,-0.3994,0.2753,0.7127,0.2972,1.2167,0.4167,0.4825,0.7849999999999999,0.2012999999999999,0.712,0.5268999999999999,1.2070999999999998,1.1464,0.0129,0.8218,0.9173,0.2409,1.374,-0.1316,0.9272,1.2383,0.0419999999999999,0.4221,0.8721000000000001,0.0887999999999999,0.4895,2.1103,0.518,0.8668,0.5976999999999999,0.8815000000000001,-0.3553,0.6535,1.4227,0.5979,1.5792,0.8229,1.4233,0.9215,1.0851,1.80585,0.0080999999999999,-0.0054,0.3722,-0.2809999999999999,0.0071999999999999,1.5415,0.2749,0.488,-0.3477,0.1635,0.4025,1.2402000000000002,0.3267,1.7255,-0.3199,1.3590000000000002,1.2549,2.2453,-0.6287,-0.5680999999999999,1.831,1.8915,0.5910000000000001,0.853,-0.4152,0.6948,0.1057,0.4907,2.488,1.2507,0.6962999999999999
ABCF3,0.0962,0.7222,1.8804,0.1096,0.8569,1.4467,1.2537,0.7616999999999999,0.7318,2.3486,-0.7313,1.9541,1.3679,0.8421000000000001,0.7753,2.0887,-0.2132,0.2292,-0.0283,0.9761,0.7076,2.5448999999999997,0.307,-0.359,-0.4175999999999999,2.5068,-0.3384,-0.0454999999999999,0.6327,0.7437,1.0683,0.8374,2.7137,0.5024,-0.5089,-0.2101,1.2487,-0.0942,0.2343,-0.6452,2.3754999999999997,-0.1126,-0.0997,0.6971999999999999,0.1586,2.4266,0.2668,-0.1765,-0.7717999999999999,0.1326999999999999,1.1361,2.0334,2.3390999999999997,1.2191,-0.5751,1.5929,-0.8379000000000001,1.3432,1.9386,1.6945,0.7966000000000001,1.5663,0.0232,-0.7292,1.6048,1.5919,-1.1414,-0.2882,-0.3091,0.0893,1.6604,1.2324,0.2638,-0.0321,1.1026,3.4895,-0.3415499999999999,1.5422,2.1807,-0.613,-0.0831,0.5832999999999999,1.3083999999999998,1.2082000000000002,0.2044,-0.7446999999999999,1.9438,0.0416,-0.7872,-0.3360999999999999,1.4355,0.9315,0.8102,1.0555,0.9907,-0.5739000000000001,0.81,-0.3284999999999999,0.6753,1.7165,0.2413,0.2436999999999999,-0.4364,1.7135,0.7514000000000001,2.9849,0.7504000000000001,0.9955
ABHD14B,-0.5841999999999999,-3.9864,0.0274999999999999,-0.2125,-0.3231,-0.3177,-1.3789,-2.1817,-2.3863,-2.1259,0.5766,-1.0794,-2.9589000000000003,-0.1583999999999999,-0.9365,-1.6056,-0.7949999999999999,-1.665,0.4281999999999999,-1.7337,-0.7076,0.0438999999999999,-1.0578,-0.0028,0.5125,-1.3053,-1.4267999999999998,-0.6214000000000001,-0.406,-1.1362,-1.8419,-1.3118,-1.5697,-1.9458,-0.4735999999999999,-2.0606,-1.1012,1.2968,-1.118,-0.9098,-1.9048000000000005,-0.6607,-1.2447,-0.7167,-0.3232,-0.9339,-1.1537000000000002,-0.0040999999999999,-0.2434,-1.0257,-1.298,-1.8955,-1.6762,-1.5806,-0.2856999999999999,-1.2904,0.9246,-1.623,-2.0231,-0.7984,-2.0076,-0.6916,-0.5966,0.3108,-0.7775,-0.358,-1.5328,0.0237,-0.1996,-1.1795,-1.102,-1.0205,-2.9668,-1.4072,-1.5667,-0.3905,-0.49335,-0.9254,-0.1915,-0.5504,-1.9479,-5.9732,-2.6102000000000003,-0.7063999999999999,-0.2752,-1.3848,-0.5404,-0.9717,-0.5457,-0.0898999999999999,-0.4833,-0.9034,-1.3565999999999998,-0.7975,-1.5301,-0.9995,-0.4909,-1.1632,-1.6674,-1.8757,-1.936,-1.2388,-1.6331000000000002,-2.0928,-1.5735,-1.2424,-0.9256,-0.3071
ABI1,-0.6522,0.1143,0.0893999999999999,0.9664,-0.7174999999999999,0.4934999999999999,-0.1164999999999999,1.2819,1.3771,0.0799,-0.5570999999999999,1.0188,1.0317,0.4398,1.2075,0.6493,-0.2132,0.1003,1.0865,0.5041,1.0915,-0.1941,0.4533,0.127,0.2658,1.7036,0.8618,-0.3536,0.0104999999999999,0.0797,1.075,0.4001,-0.3591,0.7732,-0.6786000000000001,0.5903,-0.3311,-0.3659,0.3193,0.1522,0.9632,-0.229,0.0837,0.7668999999999999,0.8692,0.1786,1.0137,0.6939,-0.1954,0.0167,0.5146999999999999,1.0512,0.0716999999999999,0.0,-0.8832,0.3717,-0.0041,-0.0699,0.0749999999999999,-0.3804,2.048,-0.0020999999999999,0.2276999999999999,0.7252000000000001,1.0352,1.3049,-0.8575,-0.0789,0.4069,-0.4373,0.65,-0.0698999999999999,0.5178,0.4262,0.8943000000000001,-0.0027,0.14535,0.5329999999999999,0.3067,-0.2752,1.0135999999999998,0.7448,0.6758,0.5785,0.7798999999999999,0.597,-0.495,-1.1486999999999998,-0.01,-0.4498,0.7625,0.4428999999999999,-0.0848,-0.2658,0.3217,0.2918,-0.0139999999999999,0.5332,0.5588,0.9328,0.5909,-0.0686,0.5347,-0.536,-0.1775,-0.0829,-0.4787,0.8101999999999999
ABLIM1,-1.6915,-2.7092,-0.5771,-3.458,-0.8501,-4.0373,-2.1341,-1.716,-1.3085,-3.6155,-1.8805,1.585,-2.1271,-2.1635,-3.0772,-0.1202,-1.9513,-3.628,-2.6931,-1.6492,-2.5736000000000003,0.6514000000000001,-1.727,-1.3280999999999998,-2.0842,-1.9713,-1.5321,-2.3384,-3.4797,-2.5617,-1.7147,0.6706,-1.6827,-3.1003,-2.6577,-0.738,-2.8429,-1.5685,-1.2998,-0.3516,-0.6156,-1.9895,-2.6246,-0.5968,-1.4181,-1.6138,-3.371,-4.1879,-2.8308999999999997,-1.3453,-1.0351,-4.0344999999999995,-1.0571,-0.0351,-2.3114,0.0583,0.4706,-2.5212,-3.4114,-1.7892,-1.2352,-2.5749999999999997,-2.3738,-2.4484,-1.2639,-1.4558,-3.0029999999999997,0.0553,-1.5026,-2.248,-1.7228,-0.8408,-1.4844000000000002,-1.3026,-0.5184,-2.1648,-1.97625,-1.6559,-0.9326,-0.4596999999999999,-2.4982,-1.7115,-1.7113,-3.2252,-3.1196,-3.4497,-2.1073,-4.053400000000001,-3.1054999999999997,-3.3156999999999996,-3.7589,-0.928,-0.603,-2.1306,-1.581,-1.6541,-1.3745,-2.0221,-3.8248,-1.85,-2.4604,-3.6994,-3.099,-1.8485,-1.9393,-1.125,-2.7717,-0.315
